Genes	MR.Ctrl.3dpi	MR.Ctrl.8dpi	MR.Ptr.3dpi	MR.Ptr.8dpi	Sus.Crtl.3dpi	Sus.Crtl.8dpi	Sus.Ptr.3dpi	Sus.Ptr.8dpi
TraesCS6B02G082700	0.9401248937786775	0.9530633881214782	-0.6733236803815614	-0.2383437223517684	1.3858760975847482	-0.2225272781562704	-1.9172007619670872	-0.2276689366282197
TraesCS6B02G089700	-0.9272635339779678	-0.9272635339779678	-0.9272635339779678	-0.9272635339779678	0.1546939053592548	0.7367114429555851	1.5194658294323955	1.298182958164636
TraesCS6B02G093400	-0.898785958150338	-1.0830887068529762	0.6946308212095249	-0.07885585750877776	-1.2590065606350032	0.021556164955436927	1.8288299264517316	0.7747201705303989
TraesCS6B02G095100	-0.5771592075321516	-0.5771592075321516	1.6800287165798518	-0.5771592075321516	-0.5771592075321516	-0.5771592075321516	1.7829265286130576	-0.5771592075321516
TraesCS6B02G105400	-0.5579856274372812	-1.5653026894322515	0.6841583144041143	0.41042367081865216	-0.5351253042924344	-0.9088400869221595	1.7013935040316897	0.7712782188296694
TraesCS6B02G106200	-0.9731917600460527	-0.9731917600460527	1.19188179827911	0.8934991619982833	-0.9731917600460527	-0.9731917600460527	1.327571559244442	0.4798145206623755
TraesCS6B02G107700	-1.0540147927727996	-1.4534917052809546	0.5086317204515458	1.338388967192193	-1.0514057936232377	-0.06748372123830287	1.018774755629202	0.7606005696423533
TraesCS6B02G108000	-0.6674288224961784	-1.0343402977591638	0.934770219492568	0.7987635725093611	-1.0343402977591638	-1.0343402977591638	1.6343424331628607	0.4025734906088798
TraesCS6B02G114200	-1.0801164418058737	-1.0801164418058737	0.08914730186682338	1.3623715822941675	-1.0801164418058737	-0.42597656682951635	1.076575191346854	1.1382318167392924
TraesCS6B02G125800	-0.757871889811531	-0.757871889811531	0.21080148537783824	-0.3810397898769777	-0.757871889811531	-0.757871889811531	2.0409583496738875	1.1607675140713756
TraesCS6B02G127800	-0.2889681156743872	-0.3524122474015365	-0.20363899170769037	0.07830713110274956	-1.2736296725106142	0.5052058733652501	2.2987465393464395	-0.7636105165202044
TraesCS6B02G136100	-0.835896310755431	-0.835896310755431	-0.4663058366794826	0.9872338168938163	-0.835896310755431	-0.835896310755431	1.5324498031328784	1.2902074596745114
TraesCS6B02G144400	0.2949869793542769	1.2757339508457193	-1.1273296163472728	0.15667373032123094	1.1469304805308624	0.36397648102759833	-1.8660527911691818	-0.24491921456323384
TraesCS6B02G145600	-0.9536787908433977	-0.9536787908433977	0.5889698078909802	-0.029767146080921337	-0.9536787908433977	-0.33857373541222635	2.133595036944958	0.5068124091874028
TraesCS6B02G145700	-0.5808695271831578	-1.5018790726746034	0.7731391374207299	0.7154658537515761	-1.5018790726746034	0.19863649163798738	1.2666395907795711	0.6307465989424997
TraesCS6B02G145800	-0.4352782873343709	-1.4680854390955882	0.7728105135575911	0.6890814682917331	-1.5744730904813307	0.08629120217313813	1.3076061482306869	0.6220474846581416
